Timestamp,How many years of software development experience do you have?,In what technologies are you proficient?,What university degree did you obtain?,"If applicable, what university(ies) did you attend?","What percentage of your work time do you spend developing software as opposed to performing other tasks like managing other people or projects, making sales, etc.?",Please select all that apply:,Referring to the company or project that you work for most of the time:,"If applicable, how many full-time employees does the company that you work for have?","If applicable, what's your job title at the company that you work at?","Excluding equity, how much money do you earn on a monthly basis?","Are you earning equity (stock, stock options, etc.)?"
1/16/2015 12:32:58,2 to 3 years,"C++, HTML/CSS, Java, Matlab, Mobile apps (Android), PHP, R, Shell, SQL, UML",Ingeniero de Sistemas,Universidad Nacional de Colombia,100%,"I am employed full-time, I do freelance work, I'm only coding for fun",It's a company located outside of Colombia,< 10 employees,Desarrollador de Software,"USD$1,000 - USD$1,999",No
1/15/2015 16:27:09,5 to 6 years,"ASP .NET, C#, C++, HTML/CSS, Java, Mobile apps (Windows), SQL, Visual Basic",Ingeniero de Sistemas,ECCI,20%,I am employed full-time,It's a multinational with presence in Colombia,100 to 199 employees,Analista de desarrollo,"USD$1,000 - USD$1,999",No
1/15/2015 14:19:09,2 to 3 years,"ASP .NET, C#, HTML/CSS, Javascript, SQL",Other degree,"SENA, Politecnico GranColombiano",100%,"I am employed full-time, I do freelance work",It's a multinational with presence in Colombia,10 - 19 employees,Ingeniero de Desarrollo SharePoint,"USD$1,000 - USD$1,999",No
1/15/2015 12:51:55,2 to 3 years,"ASP .NET, C#, HTML/CSS, Javascript, Mobile apps (Android), Mobile apps (iOS), Mobile apps (Windows), SQL, Visual Basic",I didn't attend a university,UAN,80%,I am employed full-time,It's exclusively a Colombian company,20 to 49 employees,,"USD$1,000 - USD$1,999",No
1/19/2015 12:05:06,> 10 years,"Java, Javascript, Matlab, Mobile apps (Android), PHP, Python, SQL, Visual Basic",Ingeniero de Sistemas,Universidad Nacional de Colombia - Sede Medellín,100%,"I am employed full-time, I do freelance work, I am an entrepreneur",It's exclusively a Colombian company,20 to 49 employees,Ingeniero de desarrollo,"USD$1,000 - USD$1,999",No
1/16/2015 12:30:40,< 1 year,"C++, HTML/CSS, Javascript, Python",Ingeniero de Sistemas,Universidad Nacional de Colombia,50%,I do freelance work,It's exclusively a Colombian company,,,USD$1 - USD$999,No
1/15/2015 17:59:29,1 to 2 years,"C#, HTML/CSS, Java, Javascript, Mobile apps (Android), Mobile apps (iOS), SQL",Ingeniero de Sistemas,"Nacional, EAFIT",70%,"I am employed part-time, I do freelance work",It's exclusively a Colombian company,20 to 49 employees,Especialista en desarrollo de software,USD$1 - USD$999,No
1/15/2015 14:04:31,5 to 6 years,"ASP .NET, C#, Javascript, SQL",Ingeniero de Sistemas,Politécnico Colombiano Jaime isla cadavid,90%,I am employed full-time,It's a multinational with presence in Colombia,>= 1000 employees,,"USD$2,000 - USD$2,999",No
1/15/2015 17:27:11,8 to 9 years,"Java, Javascript, PHP, SQL, UML",Ingeniero de Sistemas,Nacional,100%,I am employed full-time,It's exclusively a Colombian company,200 to 499 employees,analista de desarrollo ,"USD$1,000 - USD$1,999",Yes
1/17/2015 10:23:25,3 to 4 years,"HTML/CSS, Java, Javascript, Mobile apps (Android), Ruby, SQL, UML",Ingeniero de Sistemas,Eafit,40%,I am an entrepreneur,It's exclusively a Colombian company,< 10 employees,,USD$1 - USD$999,Yes
1/15/2015 20:39:23,7 to 8 years,"C, C++, Java, SQL, UML",Ingeniero de Sistemas,Universidad Nacional de Colombia,80%,I am employed full-time,It's a company located outside of Colombia,500 to 999 employees,Senior Java Developer,"> USD$10,000",No
1/16/2015 19:07:53,> 10 years,"C++, SQL, Visual Basic",Ingeniero de Sistemas,"universidad del quindio, unab, unipamplona",30%,I am employed full-time,It's exclusively a Colombian company,200 to 499 employees,director de sistemas de informacion,"USD$1,000 - USD$1,999",No
1/16/2015 5:42:03,6 to 7 years,"ASP .NET, C#, HTML/CSS, Java, Javascript, SQL",Ingeniero de Sistemas,Fundación Universitaria San Martín,90%,I am employed full-time,It's a company located outside of Colombia,>= 1000 employees,Senior Software Engineer,"USD$5,000 - USD$5,999",No
1/17/2015 7:16:22,8 to 9 years,"Python, SQL",Ingeniero de Sistemas,,60%,I am employed full-time,It's exclusively a Colombian company,10 - 19 employees,consultor,"USD$4,000 - USD$4,999",No
1/17/2015 13:01:37,3 to 4 years,HTML/CSS,"I took some university classes, but did not graduate",,50%,I am an entrepreneur,It's a company located outside of Colombia,< 10 employees,general manager,"USD$1,000 - USD$1,999",No
1/15/2015 12:03:18,1 to 2 years,"HTML/CSS, Javascript, PHP, SQL",I didn't attend a university,Uniandes me gradué como músico,80%,"I am employed full-time, I do freelance work, I am an entrepreneur, I'm only coding for fun",,50 to 99 employees,Front End Developer,"USD$4,000 - USD$4,999",No
1/15/2015 10:27:15,9 to 10 years,"C, C++, Javascript, PHP, Ruby, SQL",Ingeniero de Sistemas,san martin,60%,I am an entrepreneur,It's a company located outside of Colombia,10 - 19 employees,Data research analyst,"USD$2,000 - USD$2,999",Yes
1/15/2015 12:49:55,7 to 8 years,"C#, HTML/CSS, Javascript, R, SQL",Other degree,Universidad Nacional de Colombia,80%,I am employed full-time,It's a company located outside of Colombia,200 to 499 employees,Software Enginner,"USD$3,000 - USD$3,999",Yes
1/16/2015 12:24:04,3 to 4 years,"BPMN, C++, HTML/CSS, Java, Javascript, Mobile apps (Android), PHP, SQL, UML",Other degree,Universidad Distrital Francisco José de Caldas,90%,"I am employed full-time, I do freelance work",It's a multinational with presence in Colombia,100 to 199 employees,Developer engineer,"USD$1,000 - USD$1,999",Yes
1/15/2015 17:37:27,> 10 years,"HTML/CSS, Java, Javascript, Mobile apps (iOS), Objective-C, SQL",Ingeniero de Sistemas,universidad de medellin,70%,I am employed full-time,It's a company located outside of Colombia,100 to 199 employees,Team lead,"USD$5,000 - USD$5,999",No
1/16/2015 6:15:54,2 to 3 years,"Mobile apps (iOS), Objective-C",Ingeniero de Sistemas,Universidad de los Andes ,100%,I am employed full-time,It's a multinational with presence in Colombia,100 to 199 employees,iOS junior advanced developer,"USD$1,000 - USD$1,999",No
1/15/2015 16:05:15,5 to 6 years,"Java, SQL",Ingeniero de Sistemas,Nacional,30%,I am employed full-time,It's exclusively a Colombian company,>= 1000 employees,profesional servicio al cliente,"USD$1,000 - USD$1,999",No
1/15/2015 17:17:34,1 to 2 years,"C, C++, Java, Javascript, SQL, UML",Ingeniero de Sistemas,Universidad Nacional de Colombia,0%,I am employed full-time,It's a multinational with presence in Colombia,>= 1000 employees,Analista,"USD$1,000 - USD$1,999",Yes
1/20/2015 7:28:12,> 10 years,"HTML/CSS, Java",Ingeniero de Sistemas,EAFIT,80%,I am employed full-time,It's a company located outside of Colombia,20 to 49 employees,Senior Developer,"USD$2,000 - USD$2,999",No
1/18/2015 17:01:47,5 to 6 years,Java,Other degree,,10%,I am employed full-time,It's a multinational with presence in Colombia,20 to 49 employees,,"USD$2,000 - USD$2,999",No
1/16/2015 12:16:32,> 10 years,"HTML/CSS, Java, Javascript, SQL",Ingeniero de Sistemas,eafit,90%,I do freelance work,It's exclusively a Colombian company,< 10 employees,,"USD$2,000 - USD$2,999",No
1/16/2015 8:15:01,6 to 7 years,"ASP .NET, C#, HTML/CSS, Java, Javascript, Mobile apps (Android)",Other degree,Politécnico Jaime Isaza Cadavid (Medellin),80%,I am employed full-time,It's exclusively a Colombian company,200 to 499 employees,Analista Desarrollador,"USD$1,000 - USD$1,999",No
1/15/2015 14:28:43,8 to 9 years,"ASP .NET, HTML/CSS, Java, Javascript, PHP","I took some university classes, but did not graduate",,80%,I do freelance work,It's a company located outside of Colombia,,,"USD$4,000 - USD$4,999",No
1/16/2015 18:22:25,> 10 years,"C++, HTML/CSS, Java, PHP, SQL, UML",Other degree,unicauca,30%,I am an entrepreneur,It's exclusively a Colombian company,< 10 employees,,"USD$4,000 - USD$4,999",Yes
1/15/2015 12:46:51,4 to 5 years,"ASP .NET, C#, HTML/CSS, Javascript",Other degree,universidad distrital francisco jose de caldas,50%,I am employed full-time,It's a multinational with presence in Colombia,200 to 499 employees,analista de sistemas,"USD$1,000 - USD$1,999",Yes
1/15/2015 13:07:09,> 10 years,"SQL, Visual Basic",Ingeniero de Sistemas,Piloto,20%,I am employed full-time,It's a multinational with presence in Colombia,200 to 499 employees,Especialista 2,"USD$2,000 - USD$2,999",No
1/16/2015 4:08:03,1 to 2 years,"BPMN, C++, HTML/CSS, Java, Javascript, SQL, UML",Ingeniero de Sistemas,Universidad del Valle,30%,I am employed full-time,It's exclusively a Colombian company,>= 1000 employees,,USD$1 - USD$999,No
1/15/2015 18:55:34,> 10 years,"HTML/CSS, Java, SQL",Ingeniero de Sistemas,Universidad Autonoma del Caribe,80%,"I do freelance work, I am an entrepreneur",It's exclusively a Colombian company,< 10 employees,Proyect Manager,"USD$4,000 - USD$4,999",Yes
1/16/2015 8:21:05,5 to 6 years,"ASP .NET, C#, HTML/CSS, UML",Ingeniero de Sistemas,,80%,I am employed full-time,It's a multinational with presence in Colombia,200 to 499 employees,,"USD$1,000 - USD$1,999",No
1/15/2015 14:25:33,> 10 years,"C, C++, HTML/CSS, Java, Javascript, Mobile apps (Android), Perl, PHP, Python, R, Shell, SQL, UML",Ingeniero de Sistemas,,50%,"I am employed full-time, I am an entrepreneur, I'm only coding for fun",It's exclusively a Colombian company,>= 1000 employees,,"USD$2,000 - USD$2,999",No
1/15/2015 15:05:50,3 to 4 years,"C++, Java, Javascript, SQL",Ingeniero de Sistemas,Universidad Nacional de Colombia,90%,I am employed full-time,It's exclusively a Colombian company,200 to 499 employees,,"USD$1,000 - USD$1,999",No
1/15/2015 13:15:49,6 to 7 years,"ASP .NET, Java, Javascript, Mobile apps (Android), PHP, SQL, Visual Basic",Ingeniero de Sistemas,Universidad del Valle,0%,"I am employed full-time, I do freelance work",It's a company located outside of Colombia,< 10 employees,Senior Software Developer,"USD$2,000 - USD$2,999",No
1/15/2015 19:24:45,4 to 5 years,"HTML/CSS, Java, Javascript, SQL, UML",Ingeniero de Sistemas,Universidad del Quindío,80%,I am employed full-time,It's exclusively a Colombian company,100 to 199 employees,Analista-Programador,"USD$1,000 - USD$1,999",No
1/17/2015 10:02:41,8 to 9 years,"C++, Javascript, SQL, Visual Basic",Other degree,,90%,I am employed full-time,It's exclusively a Colombian company,< 10 employees,,USD$1 - USD$999,No
1/17/2015 14:12:48,1 to 2 years,"HTML/CSS, Java, Matlab, Mobile apps (iOS), Objective-C, Ruby, SQL, UML",Ingeniero de Sistemas,Universidad de los Andes,100%,I am employed full-time,It's a multinational with presence in Colombia,10 - 19 employees,iOS Developer,"USD$2,000 - USD$2,999",Yes
1/15/2015 11:02:39,3 to 4 years,"Java, Mobile apps (Android), Mobile apps (iOS)",Ingeniero de Sistemas,Universidad pedagógica y tecnológica de Colombia,90%,"I am employed part-time, I am an entrepreneur, I'm only coding for fun",It's a company located outside of Colombia,< 10 employees,Senior mobile developer,"USD$1,000 - USD$1,999",No
1/16/2015 5:16:26,1 to 2 years,"HTML/CSS, Java, SQL, Visual Basic",Ingeniero de Sistemas,Universidad de Caldas,100%,I am employed full-time,It's a multinational with presence in Colombia,200 to 499 employees,Analista de ingeniería de software,"USD$1,000 - USD$1,999",No
1/17/2015 10:42:48,2 to 3 years,"ASP .NET, Assembly, C#, Java, SQL, Visual Basic",Ingeniero de Sistemas,Universidad de Antioquia,60%,I am employed part-time,It's exclusively a Colombian company,10 - 19 employees,ADMINISTRADOR IT,USD$1 - USD$999,No
1/15/2015 14:33:48,3 to 4 years,"Assembly, C, C++, HTML/CSS, Java, Javascript, PHP, Ruby, SQL, UML",Ingeniero de Sistemas,UNAL MED,60%,I am employed full-time,It's exclusively a Colombian company,< 10 employees,Analista de Aplicaciones,USD$1 - USD$999,No
1/15/2015 21:32:55,> 10 years,"ASP .NET, BPMN, C#, C++, HTML/CSS, Groovy, Java, Javascript, Matlab, Mobile apps (Android), Python, R, Ruby, Shell, SQL, UML",Ingeniero de Sistemas,universidad nacional,50%,"I am employed full-time, I'm only coding for fun",It's exclusively a Colombian company,100 to 199 employees,solutions architect,"USD$3,000 - USD$3,999",Yes
1/15/2015 14:16:34,2 to 3 years,"HTML/CSS, Java, Javascript, PHP",Ingeniero de Sistemas,Universidad Distrital Francisco José de Caldas,80%,I am employed full-time,It's a multinational with presence in Colombia,>= 1000 employees,Developer,"USD$1,000 - USD$1,999",No
1/16/2015 14:33:29,< 1 year,"C++, HTML/CSS, Java, Javascript, SQL",Ingeniero de Sistemas,,30%,"I am employed full-time, I am an entrepreneur",It's exclusively a Colombian company,20 to 49 employees,Programmer,USD$1 - USD$999,No
1/16/2015 7:32:57,4 to 5 years,"HTML/CSS, Javascript, PHP, Ruby, SQL",Other degree,Politecnico Grancolombiano,30%,"I do freelance work, I am an entrepreneur",It's a company located outside of Colombia,20 to 49 employees,,"USD$2,000 - USD$2,999",Yes
1/17/2015 7:12:27,2 to 3 years,"C, C++, HTML/CSS, Groovy, Java, Javascript, Matlab, Mobile apps (Android), PHP, Python, SQL, UML",Ingeniero de Sistemas,Universidad Nacional de Colombia,80%,"I am employed part-time, I do freelance work, I'm only coding for fun",It's exclusively a Colombian company,< 10 employees,,USD$1 - USD$999,Yes
1/15/2015 13:38:02,6 to 7 years,"BPMN, C, HTML/CSS, Java, Javascript, UML",Ingeniero de Sistemas,Javeriana,90%,I am employed full-time,It's a multinational with presence in Colombia,100 to 199 employees,Senior Developer L1,"USD$2,000 - USD$2,999",No
1/15/2015 15:01:47,2 to 3 years,"ASP .NET, C#, Java, Matlab, SQL",Ingeniero de Sistemas,UTP,80%,"I am employed full-time, I do freelance work, I am an entrepreneur",It's a multinational with presence in Colombia,>= 1000 employees,.Net Developer Junior,"USD$1,000 - USD$1,999",Yes
1/15/2015 22:47:03,> 10 years,"Cobol, Java, Shell, SQL","I took some university classes, but did not graduate",,80%,I am employed full-time,It's exclusively a Colombian company,200 to 499 employees,Ingeniero programador,"USD$1,000 - USD$1,999",No
1/17/2015 7:24:50,8 to 9 years,"C#, HTML/CSS, Javascript, Mobile apps (Android), PHP, Python, SQL, UML","I took some university classes, but did not graduate",Universidad del Quindío,90%,I am employed full-time,It's a company located outside of Colombia,10 - 19 employees,Web Developer,"USD$1,000 - USD$1,999",No
1/17/2015 7:12:04,4 to 5 years,"HTML/CSS, Go, Javascript, PHP, Python, Ruby, Shell",Other degree,"Universidad del Valle, Cali",100%,"I am employed full-time, I am an entrepreneur, I'm only coding for fun",It's a multinational with presence in Colombia,10 - 19 employees,Senior Software Engineer,"USD$2,000 - USD$2,999",No
1/15/2015 12:35:53,2 to 3 years,"HTML/CSS, Java, Objective-C, Ruby, SQL",Ingeniero de Sistemas,Universida de los Andes,30%,"I am employed full-time, I do freelance work, I am an entrepreneur, I'm only coding for fun",It's a company located outside of Colombia,10 - 19 employees,Software Design Director,"USD$3,000 - USD$3,999",No
1/20/2015 7:06:05,2 to 3 years,"ASP .NET, HTML/CSS, Java, Javascript, Mobile apps (Android), Mobile apps (Windows), SQL, UML",Ingeniero de Sistemas,Piloto,80%,I am employed full-time,It's exclusively a Colombian company,10 - 19 employees,Developer engineer,"USD$1,000 - USD$1,999",Yes
1/15/2015 13:14:27,5 to 6 years,"C++, HTML/CSS, Javascript, PHP, SQL, UML",Ingeniero de Sistemas,Universidad el Bosque,70%,I am employed full-time,It's a multinational with presence in Colombia,100 to 199 employees,development interfaces,"USD$1,000 - USD$1,999",Yes
1/15/2015 14:20:09,2 to 3 years,"ASP .NET, C#, HTML/CSS, Java, Javascript, SQL, Visual Basic",Ingeniero de Sistemas,Universidad de la Costa,80%,I am employed part-time,It's exclusively a Colombian company,20 to 49 employees,Web Development,USD$1 - USD$999,No
1/15/2015 9:32:00,6 to 7 years,"ASP .NET, C, C++, HTML/CSS, Java, Javascript, Mobile apps (Android), Mobile apps (iOS), Objective-C, PHP, Ruby, SQL, UML, Visual Basic",Other degree,Universidad del Cauca,50%,"I do freelance work, I am an entrepreneur",It's a multinational with presence in Colombia,,,"USD$2,000 - USD$2,999",No
1/20/2015 6:32:28,3 to 4 years,"HTML/CSS, Javascript, Mobile apps (iOS), Objective-C",Ingeniero en Multimedia,Universidad Militar Nueva Granada,80%,I am employed full-time,It's a company located outside of Colombia,20 to 49 employees,User Interface Engineer,"USD$2,000 - USD$2,999",No
1/16/2015 10:53:05,1 to 2 years,"C#, HTML/CSS, Java, Mobile apps (Android), Mobile apps (Windows), SQL",Ingeniero de Sistemas,eafit,80%,I am employed full-time,It's a multinational with presence in Colombia,20 to 49 employees,develop ,"USD$1,000 - USD$1,999",No
1/17/2015 10:02:45,4 to 5 years,"C, C#, C++, HTML/CSS, Java, Javascript, Matlab, Mobile apps (Android), PHP, Python, Ruby, SQL, UML, Visual Basic",Ingeniero de Mecatrónica,UAO,50%,"I am employed part-time, I am an entrepreneur",It's exclusively a Colombian company,< 10 employees,CTO,"USD$1,000 - USD$1,999",No
1/15/2015 11:19:37,> 10 years,"HTML/CSS, Javascript, PHP, Python, SQL",Ingeniero de Sistemas,Universidad del Valle,70%,"I am employed full-time, I do freelance work, I am an entrepreneur",It's a company located outside of Colombia,10 - 19 employees,Software Developer,"USD$3,000 - USD$3,999",Yes
1/16/2015 18:21:56,2 to 3 years,"Javascript, Mobile apps (iOS), Objective-C, PHP, Swift",Ingeniero de Sistemas,Universidad de Caldas,100%,"I am employed full-time, I do freelance work",It's a multinational with presence in Colombia,50 to 99 employees,Mobile Developer,"USD$1,000 - USD$1,999",No
1/15/2015 12:15:56,4 to 5 years,"ASP .NET, C#, HTML/CSS, Java, Javascript, Mobile apps (Android), Mobile apps (iOS), Mobile apps (Windows), PHP, Python, SQL, UML, Visual Basic","I took some university classes, but did not graduate",,100%,"I am employed full-time, I am employed part-time, I do freelance work, I am an entrepreneur, I'm only coding for fun",It's exclusively a Colombian company,< 10 employees,Mobile developer,"USD$1,000 - USD$1,999",Yes
1/15/2015 12:26:38,2 to 3 years,"ASP .NET, C#, HTML/CSS, Javascript, SQL","I took some university classes, but did not graduate",Universidad de la Amazonia,100%,"I am employed part-time, I'm only coding for fun",It's exclusively a Colombian company,20 to 49 employees,Web Developer,USD$1 - USD$999,No
1/17/2015 12:43:50,5 to 6 years,Java,Ingeniero de Sistemas,Universidad de Antioquia,20%,I am employed full-time,It's exclusively a Colombian company,>= 1000 employees,Analista de tecnología,"USD$1,000 - USD$1,999",No
1/15/2015 10:24:03,3 to 4 years,"HTML/CSS, Ruby",Ingeniero de Sistemas,Universidad del Norte,90%,I am employed full-time,It's a multinational with presence in Colombia,>= 1000 employees,Ssr Rails Developer,"USD$2,000 - USD$2,999",No
1/17/2015 4:28:29,9 to 10 years,Java,Ingeniero de Sistemas,,70%,I am employed full-time,It's a multinational with presence in Colombia,,Teach Leader,"USD$2,000 - USD$2,999",No
1/15/2015 23:59:49,> 10 years,"ASP .NET, C#, HTML/CSS, Javascript, Perl, SQL, Visual Basic",Ingeniero de Sistemas,Eafit,80%,I am employed full-time,It's a company located outside of Colombia,200 to 499 employees,Implementation and integration eng,"USD$6,000 - USD$6,999",Yes
1/16/2015 5:33:37,> 10 years,"ASP .NET, C#, HTML/CSS, Java, Javascript, Mobile apps (Android), Mobile apps (Windows), PHP, SQL, UML, Visual Basic","I took some university classes, but did not graduate",,10%,I am employed full-time,It's exclusively a Colombian company,100 to 199 employees,Líder técnico de desarrollo de software,"USD$1,000 - USD$1,999",No
1/19/2015 11:27:33,2 to 3 years,"Java, Javascript, SQL, UML",Ingeniero de Sistemas,,100%,I am employed full-time,It's a company located outside of Colombia,200 to 499 employees,,"USD$1,000 - USD$1,999",Yes
1/15/2015 15:01:26,4 to 5 years,"ASP .NET, C#, HTML/CSS, Javascript, Mobile apps (Android), PHP, SQL",Ingeniero de Sistemas,,30%,"I am employed part-time, I do freelance work",It's a multinational with presence in Colombia,,,"USD$1,000 - USD$1,999",Yes
1/17/2015 18:29:27,< 1 year,Mobile apps (Android),Other degree,Administradora financiera,80%,I'm only coding for fun,It's exclusively a Colombian company,< 10 employees,,USD$1 - USD$999,No
1/17/2015 9:52:42,8 to 9 years,"ASP .NET, BPMN, C#, HTML/CSS, Java, Javascript, Mobile apps (Android), SQL, UML",Other degree,"UdeA, EAFIT",80%,"I am employed full-time, I do freelance work, I am an entrepreneur",It's a multinational with presence in Colombia,50 to 99 employees,Senior Software Developer ,"USD$2,000 - USD$2,999",No
1/16/2015 6:06:02,3 to 4 years,"HTML/CSS, Javascript, Mobile apps (Android), PHP, SQL",Other degree,"Sena , Autodidacta",60%,"I am employed full-time, I do freelance work",It's exclusively a Colombian company,< 10 employees,Frontend Developer,USD$1 - USD$999,No
1/19/2015 21:28:57,< 1 year,"ASP .NET, C#, HTML/CSS, Java, Javascript, PHP, SQL",Ingeniero de Sistemas,,70%,"I do freelance work, I am unemployeed",It's exclusively a Colombian company,< 10 employees,,"USD$3,000 - USD$3,999",Yes
1/16/2015 7:28:10,> 10 years,"ASP .NET, C#, SQL",Ingeniero de Sistemas,,90%,"I am employed full-time, I do freelance work",It's exclusively a Colombian company,100 to 199 employees,,"USD$1,000 - USD$1,999",No
1/16/2015 5:17:43,> 10 years,"PHP, SQL",Ingeniero de Sistemas,Universidad Piloto de Colombia,90%,I am employed full-time,It's a multinational with presence in Colombia,50 to 99 employees,Senior Developer,"USD$1,000 - USD$1,999",No
1/15/2015 11:01:37,3 to 4 years,"C++, Erlang, HTML/CSS, Java, Javascript, Mobile apps (Android)",Ingeniero de Sistemas,univalle,80%,"I am employed full-time, I do freelance work, I'm only coding for fun",It's exclusively a Colombian company,20 to 49 employees,Software Engineer,"USD$1,000 - USD$1,999",Yes
1/15/2015 20:53:50,9 to 10 years,"HTML/CSS, Java, Mobile apps (Android), Ruby, SQL, UML",Ingeniero de Sistemas,U de A,30%,I am employed full-time,It's exclusively a Colombian company,200 to 499 employees,,"USD$2,000 - USD$2,999",No
1/15/2015 18:13:38,7 to 8 years,"ASP .NET, C#, Javascript, Mobile apps (iOS), Mobile apps (Windows), Objective-C",Ingeniero de Sistemas,Universidad del Norte,60%,I am employed full-time,It's a multinational with presence in Colombia,>= 1000 employees,Mobile Architect,"USD$1,000 - USD$1,999",No
1/16/2015 11:05:26,5 to 6 years,"HTML/CSS, Javascript, PHP, SQL",Ingeniero de Sistemas,Escuela de Ingeniería de Antioquia,80%,"I am employed full-time, I do freelance work",It's exclusively a Colombian company,100 to 199 employees,Ingeniero de Proyectos,"USD$1,000 - USD$1,999",No
1/16/2015 7:53:22,< 1 year,"ASP .NET, C#, HTML/CSS, Java, Javascript, Matlab, PHP, SQL, UML, Visual Basic",Ingeniero de Sistemas,universidad Industrial de Santander - Colombia,80%,I am employed full-time,It's a multinational with presence in Colombia,200 to 499 employees,junior developer,USD$1 - USD$999,Yes
1/15/2015 18:04:05,1 to 2 years,"C++, Java",Ingeniero de Sistemas,,30%,I'm only coding for fun,It's a company located outside of Colombia,< 10 employees,,"USD$1,000 - USD$1,999",Yes
1/16/2015 14:51:17,> 10 years,"ASP .NET, C, C#, HTML/CSS, Go, Javascript, PHP, Python, SQL","I took some university classes, but did not graduate","UNAL, UNAD",50%,"I am employed part-time, I do freelance work, I am an entrepreneur",It's a company located outside of Colombia,< 10 employees,DP,"USD$3,000 - USD$3,999",No
1/16/2015 20:30:43,4 to 5 years,"HTML/CSS, Groovy, Java, Javascript, SQL, UML",Ingeniero de Sistemas,Universidad Nacional - Sede Medellin,90%,"I am employed full-time, I do freelance work",It's exclusively a Colombian company,200 to 499 employees,Developer Analyst,"USD$1,000 - USD$1,999",No
1/15/2015 10:57:15,5 to 6 years,"ASP .NET, HTML/CSS, Java, Javascript, Mobile apps (Android), Mobile apps (iOS), PHP, Python, Ruby, SQL, UML, Visual Basic",Ingeniero de Sistemas,Universidad de Ibagué,30%,I am employed full-time,It's exclusively a Colombian company,< 10 employees,web developer,"USD$1,000 - USD$1,999",No
1/15/2015 17:37:47,5 to 6 years,"HTML/CSS, Javascript","I took some university classes, but did not graduate",Nacional,80%,"I am employed part-time, I do freelance work",It's exclusively a Colombian company,10 - 19 employees,Diseñador y frontend,"USD$1,000 - USD$1,999",No
